mean_intensity,std_intensity,mean_r,mean_g,mean_b,std_r,std_g,std_b
0.3436417281627655,0.06862776726484299,0.3436392843723297,0.3436392843723297,0.3436392843723297,0.06864102929830551,0.06864102929830551,0.06864102929830551
0.042788270860910416,0.09646359086036682,0.04277728497982025,0.04277728497982025,0.04277728497982025,0.09630351513624191,0.09630351513624191,0.09630351513624191
0.3495454788208008,0.0725753977894783,0.34954386949539185,0.34954386949539185,0.34954386949539185,0.07256621867418289,0.07256621867418289,0.07256621867418289
0.252167671918869,0.12194175273180008,0.2520826756954193,0.2520826756954193,0.2520826756954193,0.12194744497537613,0.12194744497537613,0.12194744497537613
0.33298665285110474,0.15061092376708984,0.33295074105262756,0.33295074105262756,0.33295074105262756,0.1505763679742813,0.1505763679742813,0.1505763679742813
0.04911313205957413,0.10698869824409485,0.049111105501651764,0.049111105501651764,0.049111105501651764,0.10688339918851852,0.10688339918851852,0.10688339918851852
0.44883301854133606,0.17269684374332428,0.4487684369087219,0.4487684369087219,0.4487684369087219,0.17270459234714508,0.17270459234714508,0.17270459234714508
0.3257526755332947,0.10206202417612076,0.3257676959037781,0.3257676959037781,0.3257676959037781,0.10205134749412537,0.10205134749412537,0.10205134749412537
0.5423353314399719,0.27569928765296936,0.542177677154541,0.542177677154541,0.542177677154541,0.2757202088832855,0.2757202088832855,0.2757202088832855
0.08139786124229431,0.13981589674949646,0.08141108602285385,0.08141108602285385,0.08141108602285385,0.1397617608308792,0.1397617608308792,0.1397617608308792
0.4774625599384308,0.10611569136381149,0.4771844446659088,0.4771844446659088,0.4771844446659088,0.10612614452838898,0.10612614452838898,0.10612614452838898
0.30971598625183105,0.03319476172327995,0.30982184410095215,0.30982184410095215,0.30982184410095215,0.033199094235897064,0.033199094235897064,0.033199094235897064
0.07175997644662857,0.1524132788181305,0.07175213098526001,0.07175213098526001,0.07175213098526001,0.15231065452098846,0.15231065452098846,0.15231065452098846
0.5571597218513489,0.21180860698223114,0.5569116473197937,0.5569116473197937,0.5569116473197937,0.21181711554527283,0.21181711554527283,0.21181711554527283
0.2192832976579666,0.08845329284667969,0.21897120773792267,0.21897120773792267,0.21897120773792267,0.08844082057476044,0.08844082057476044,0.08844082057476044
0.49251165986061096,0.19745054841041565,0.4923858642578125,0.4923858642578125,0.4923858642578125,0.19746530055999756,0.19746530055999756,0.19746530055999756
0.36822155117988586,0.09625977277755737,0.36812886595726013,0.36812886595726013,0.36812886595726013,0.09624745696783066,0.09624745696783066,0.09624745696783066
0.3524736166000366,0.06362900882959366,0.35246607661247253,0.35246607661247253,0.35246607661247253,0.0636417344212532,0.0636417344212532,0.0636417344212532
0.4889700412750244,0.17554093897342682,0.488783061504364,0.488783061504364,0.488783061504364,0.1755618304014206,0.1755618304014206,0.1755618304014206
0.3910483419895172,0.14828012883663177,0.3907891809940338,0.3907891809940338,0.3907891809940338,0.14826634526252747,0.14826634526252747,0.14826634526252747
0.5631217360496521,0.17092034220695496,0.5628272891044617,0.5628272891044617,0.5628272891044617,0.17092618346214294,0.17092618346214294,0.17092618346214294
0.43532827496528625,0.0727337971329689,0.4351576268672943,0.4351576268672943,0.4351576268672943,0.0727049857378006,0.0727049857378006,0.0727049857378006
0.025186121463775635,0.06521303951740265,0.025183923542499542,0.025183923542499542,0.025183923542499542,0.0651904046535492,0.0651904046535492,0.0651904046535492
